"year","YearAverageIrrad","JulAverageIrrad","AugAverageIrrad","SepAverageIrrad","OctAverageIrrad","NovAverageIrrad","DecAverageIrrad","JanAverageIrrad","FebAverageIrrad","MarAverageIrrad","AprAverageIrrad","MayAverageIrrad","JunAverageIrrad"
1995,1360.00832699289,1307.10632950114,1321.82073625992,1346.75006899835,1376.49697993789,1403.36388001076,1419.31985793838,1414.60839472179,1396.8583190926,1370.32451413143,1341.41608817154,1318.27719227607,1305.95103848762
1996,1360.06148642675,1305.00197968694,1317.40802517528,1340.84972886379,1370.3061909445,1398.33756159757,1416.81915038232,1419.10679326265,1403.14923283555,1376.5651350106,1346.58333889321,1321.3705920922,1306.47145120444
1997,1360.09822893294,1306.09018080834,1315.24894436081,1335.77594925075,1363.23054144878,1390.80113809702,1410.71007030751,1419.9008500131,1407.28530138868,1383.18823809393,1353.829154289,1327.58659026887,1310.50199993989
1998,1360.6190722583,1310.56861645397,1316.80773741291,1334.01855903728,1358.32356532965,1383.640231653,1402.96280177268,1416.91430224728,1408.00643217493,1387.28535461006,1360.23288697284,1334.76223936044,1316.95559368969
1999,1361.29549293364,1317.23296041084,1321.75764868924,1336.19868129974,1357.09725910834,1379.07156228981,1395.98396551917,1410.5765721177,1404.54966619524,1387.40974981028,1363.77260925112,1340.73978509488,1323.98141729426
2000,1361.9727743559,1323.98365165691,1328.85872715201,1342.1426345912,1360.51610118909,1378.97477802541,1392.2237722657,1402.87474778881,1397.79479902178,1382.88047403155,1362.59384131606,1342.98115635218,1329.02570270414
2001,1362.17055839173,1328.7750015904,1335.34355138905,1348.98926450513,1366.19677634806,1382.14551594009,1391.98879909615,1396.24283702061,1390.21302225067,1376.38438642316,1358.45813283344,1341.95241680892,1331.17016542125
2002,1362.13724266754,1330.23143009083,1339.61516480045,1355.21407594925,1373.05929495747,1388.07132653035,1395.47446057317,1392.57476587726,1384.15621431219,1369.39443591155,1352.10149700036,1337.55612750583,1329.56788390996
2003,1361.82343241041,1328.15264169791,1340.5861991313,1359.10442627409,1379.13748240157,1394.98147541738,1401.5326046847,1392.68491856828,1381.08267061384,1363.93575848558,1345.52663749219,1331.33172216556,1324.95535786398
2004,1361.46243699681,1323.63192743884,1338.7788499628,1360.48466107479,1383.55001977458,1401.49789463409,1408.54619304924,1396.31621991727,1381.25700959077,1360.64240835231,1339.87672903258,1324.69359246082,1318.73615269419
2005,1360.80761563135,1317.35507031064,1333.73168599399,1357.817467512,1384.06766598805,1405.29445717255,1414.78823701775,1402.00936896752,1384.6950939279,1361.34544680053,1337.47279560806,1319.88875064951,1312.56674897054
2006,1360.30812452878,1311.14697822668,1327.22213625757,1352.39379629343,1381.12601090205,1405.72517668088,1418.68197905094,1409.10561335547,1390.87642494767,1365.24690805858,1338.34465714269,1317.70129377785,1307.89527141525
2007,1359.97150789317,1306.52653263144,1320.80971816224,1345.52112865062,1375.30564880089,1402.52934743892,1419.07964639423,1415.51719106325,1398.08539149809,1371.54143558111,1342.37162320424,1318.75835118884,1305.89507339211
2008,1360.07160364652,1304.9035450286,1316.75474646913,1339.77105714893,1369.00331267298,1397.14047352405,1416.0169709658,1419.5493910297,1404.14430466371,1377.81854955424,1347.81696565329,1322.28680165872,1306.9278123612
2009,1360.16049232119,1306.54409314226,1315.13999201179,1335.12270586479,1362.14175575505,1389.49809656224,1409.52317041066,1419.74446385751,1407.78396084281,1384.17966808172,1355.06010189997,1328.78382295355,1311.41452370793
2010,1360.71885537172,1311.46471411946,1317.28176532758,1333.95674041984,1357.72174831145,1382.60305739376,1401.72977678856,1416.1637747102,1407.84523702607,1387.72833865599,1361.15356827296,1335.92532840438,1318.09452518351
2011,1361.39765546902,1318.29195191694,1322.63630722161,1336.70865566763,1357.12983603012,1378.57868614419,1395.08101501773,1409.45908391913,1403.80415412166,1387.20558070246,1364.11719494965,1341.52604546007,1325.00891332112
2012,1362.03894677947,1324.86114792465,1329.82627064037,1343.00718211218,1361.0803160651,1379.11642497146,1391.87560092228,1401.7695070058,1396.7671879266,1382.15496561033,1362.33019349513,1343.18470161014,1329.6354750304
2013,1362.18735366495,1329.2019386652,1336.07999163044,1349.89396202575,1367.07252652387,1382.8026828322,1392.25663943386,1395.49025285335,1389.25444132059,1375.43576317074,1357.72607043371,1341.5741306668,1331.20432469025
2014,1362.10484594552,1330.10075396032,1339.89292316954,1355.8519207687,1373.93913154322,1388.99989932584,1396.23075287572,1392.38030089799,1383.57113250967,1368.56082353628,1351.20408114443,1336.78465254087,1329.06768428113
2015,1361.75644436841,1327.52696823854,1340.32845908367,1359.27396084731,1379.7439957997,1395.89328797464,1402.54507730231,1393.07179342295,1381.03437197659,1363.47926238131,1344.75895690195,1330.4361914191,1324.10898101105
2016,1361.38188508842,1322.69270062456,1338.06420493671,1360.13463951739,1383.70764988803,1402.14548598334,1409.55342331417,1397.16989407723,1381.74807712922,1360.66929041593,1339.45330522803,1323.93026602472,1317.788749201
2017,1360.72405643842,1316.3274718794,1332.69216048826,1356.98520339515,1383.68396185998,1405.47323044057,1415.529530188,1403.11931374262,1385.62209998889,1361.90456527742,1337.53027106079,1319.46723248066,1311.75831133448
2018,1360.2428555285,1310.26743189795,1326.08609711011,1351.25044143513,1380.2329188359,1405.35280050268,1418.94106810162,1410.2231089658,1392.07418956718,1366.23816019896,1338.91784347409,1317.75206528516,1307.43220118008
